Ticker,Corr_WTI_CL=F,Corr_Brent_BZ=F,Data_Points
EXPD,0.06104177065416237,0.07192859122527516,501
LIN,0.052806923741288245,0.05355361608781088,501
WEBC,0.010954998432408321,0.005719339432669828,500
MTL.TO,0.005668969106641446,0.012605045130797729,492
CHRW,-0.0036633422058354958,0.01665625874382412,501
AMZN,-0.008243037932110253,-0.002522354855541466,501
UBER,-0.010193512142865327,-0.012662670492424593,501
NFI.TO,-0.012231944010843413,0.013598035103664273,492
NSC,-0.013846954093417909,-0.001862024348731623,501
UNP,-0.014568421596129887,-0.008857031017011343,501
AIT,-0.02471025670995748,-0.007607627390006418,501
BTX,-0.025895973490491664,-0.010522788070695753,501
CYRX,-0.027958550404711242,-0.028550063275098427,501
LSTR,-0.02986803962625024,-0.02325046760920629,501
COR,-0.03131010678137312,-0.015627512158374532,501
ECHO,-0.03246055419582362,-0.032548441341711504,501
FWRD,-0.038828572113833185,-0.046272901344337175,501
CP,-0.045529009305206945,-0.02288167306122861,501
CSX,-0.04578815815215875,-0.036162550122367146,501
XPO,-0.05340399505854856,-0.033527266031494384,501
ARCB,-0.06308238245197229,-0.04142848327482005,501
FDX,-0.06843794900236257,-0.044371441898774344,501
PLD,-0.07187806490411502,-0.053521067148570634,501
CNI,-0.07226107797338847,-0.0665715895778098,501
SCL,-0.0725317351270595,-0.06962618537443835,501
RLGT,-0.07926813786998221,-0.06475973820035728,501
COLD,-0.0804511413664471,-0.07135636435376246,501
JBHT,-0.08154754428901578,-0.06590555969858747,501
ODFL,-0.0829918497159418,-0.07580353396696947,501
WERN,-0.0831577442687583,-0.08394174515306217,501
HUBG,-0.08866745199425574,-0.07398200726795008,501
SAIA,-0.0927527233308385,-0.07965497714636921,501
GXO,-0.09280678719916534,-0.07762123061976328,501
HTLD,-0.09819169777566965,-0.08625292508240646,501
R,-0.09823553412219482,-0.08196987188626058,501
TFII.TO,-0.09832956534874693,-0.09454906562996132,492
SNDR,-0.10288389799406317,-0.09839509944573113,501
BDL,-0.1094541215852736,-0.12665853205333263,501
ULH,-0.11217107301119753,-0.10876724468890586,501
CVLG,-0.11527406714465847,-0.10867166104469027,501
MRTN,-0.11766265362579212,-0.11564794116935963,501
KNX,-0.11781754211856477,-0.10068504452102432,501
UPS,-0.12237070335463351,-0.11681326492868599,501
POW.TO,-0.19814254236173798,-0.188294939488106,492
